Year,Primary production,Secondary production,Imports,Exports,Stocks,Apparent consumption,Unit value  ($/t),Unit value (98$/t),World production
1900,5,NA,"26,100","2,660",NA,"23,600","1,100","22,000","9,290"
1901,3,NA,"53,200","2,660",NA,"50,700","1,240","24,000","11,400"
1902,3,NA,"15,400","1,460",NA,"14,100",992,"19,000","12,200"
1903,52,NA,"16,400","1,100",NA,"15,600",882,"16,000","10,200"
1904,11,NA,"8,950","3,410",NA,"5,800",882,"16,000","10,500"
1905,NA,NA,"14,100","4,330",NA,"10,000",882,"16,000","15,600"
1906,NA,NA,"15,500","4,820",NA,"10,900",882,"16,000","16,000"
1907,W,NA,"8,440","3,980",NA,"4,690",992,"17,000","16,300"
1908,W,NA,"7,630","4,430",NA,"3,470",992,"18,000","14,900"
1909,309,NA,"10,100","5,470",NA,"4,940",882,"16,000","17,000"
1910,W,NA,"14,700","6,910",NA,"8,110",882,"15,000","23,100"
1911,404,NA,"13,500","11,400",NA,"2,500",882,"15,000","25,200"
1912,298,NA,"21,000","11,700",NA,"9,600",882,"15,000","27,900"
1913,219,NA,"21,500","13,200",NA,"8,520",926,"15,300","32,200"
1914,384,NA,"15,900","12,500",NA,"3,780",904,"14,700","30,000"
1915,746,NA,"25,700","12,000",NA,"14,400",904,"14,600","39,100"
1916,833,740,"33,000","15,200",NA,"19,400",926,"13,800","45,500"
1917,365,780,"34,300","9,980",NA,"25,500",926,"11,800","46,200"
1918,400,"1,260","33,200","7,920",NA,"26,900",904,"9,760","47,600"
1919,464,"2,220","16,600","1,730",NA,"17,600",882,"8,320","23,100"
1920,331,"2,000","22,000",551,NA,"23,800",926,"7,530","35,700"
1921,101,857,"1,990",193,NA,"2,750",926,"8,420","10,400"
1922,189,"1,370","6,770","4,940",NA,"5,430",838,"8,140","11,800"
1923,91,"1,410","18,400",840,NA,"19,400",794,"7,560","31,100"
1924,173,"2,030","16,800","1,180",NA,"18,200",661,"6,300","35,300"
1925,247,"2,090","19,600","1,630",NA,"20,800",728,"6,800","37,100"
1926,293,"2,770","17,500","1,420",NA,"20,000",794,"7,280","33,900"
1927,780,"3,070","16,200",800,NA,"19,300",772,"7,220","34,500"
1928,474,"4,080","27,500",800,NA,"31,300",816,"7,770","50,300"
1929,308,"3,950","37,600","1,000",NA,"40,900",772,"7,350","56,300"
1930,279,"2,630","23,000","1,100",NA,"24,800",772,"7,570","54,200"
1931,338,"1,880","13,700",600,NA,"15,300",772,"8,270","36,300"
1932,177,"1,320","8,530",700,NA,"9,330",772,"9,190","21,800"
1933,114,"1,500","19,900",900,NA,"20,600",772,"9,670","46,300"
1934,142,"1,680","19,100","1,500",NA,"19,400",772,"9,390","71,600"
1935,145,"1,770","31,000","1,200",NA,"31,700",772,"9,190","77,400"
1936,97,"1,780","43,200","2,300",NA,"42,800",772,"9,050","93,400"
1937,199,"2,180","43,700","2,500",NA,"43,600",772,"8,740","120,000"
1938,377,"2,090","23,800","3,800",NA,"22,500",772,"8,930","115,000"
1939,357,"2,650","52,800","6,100",NA,"51,900",772,"9,050","122,000"
1940,503,"3,770","76,000","7,100",NA,"76,600",772,"8,990","140,000"
1941,599,"4,820","96,300","4,100",NA,"94,400",772,"8,560","162,000"
1942,555,"3,760","104,000","5,000",NA,"103,000",705,"7,050","158,000"
1943,582,"6,270","111,000","6,800","8,160","109,000",705,"6,650","167,000"
1944,896,"3,920","107,000","5,900","12,000","120,000",705,"6,530","157,000"
1945,"1,050","5,880","97,500","2,500","8,340","109,000",705,"6,410","145,000"
1946,319,"7,480","83,900","5,000","11,800","82,600",772,"6,430","123,000"
1947,586,"8,660","73,200","7,500","7,010","70,300",772,"5,640","140,000"
1948,801,"8,030","87,500","5,000","9,650","87,000",794,"5,370","151,000"
1949,717,"5,150","82,600","2,500","8,100","83,400",882,"6,040","146,000"
1950,828,"7,980","82,800","2,700","5,360","86,400",992,"6,700","145,000"
1951,686,"7,800","84,500","3,560","5,180","78,600","1,190","7,440","132,000"
1952,574,"6,790","98,700","5,350","7,380","92,000","1,260","7,730","146,000"
1953,546,"7,580","108,000","11,700","8,980","95,900","1,320","8,050","198,000"
1954,754,"7,810","120,000","11,000","9,610","85,900","1,350","8,180","216,000"
1955,"3,450","10,500","129,000","15,900","8,170","99,900","1,460","8,900","239,000"
1956,"6,100","13,500","130,000","34,300","11,500","116,000","1,430","8,560","259,000"
1957,"9,140","10,900","127,000","10,300","22,900","111,000","1,630","9,480","286,000"
1958,"10,700","6,720","81,600","10,800","12,100","71,700","1,630","9,210","224,000"
1959,"10,500","8,560","102,000","10,100","12,800","102,000","1,630","9,110","285,000"
1960,"13,000","8,560","93,400","41,700","10,300","98,100","1,630","8,960","320,000"
1961,"10,100","9,700","115,000","42,800","16,600","108,000","1,720","9,400","361,000"
1962,"10,200","10,100","112,000","21,300","12,200","108,000","1,760","9,510","357,000"
1963,"10,400","17,200","108,000","47,000","15,600","113,000","1,740","9,260","339,000"
1964,"11,100","21,000","117,000","52,800","15,600","133,000","1,740","9,160","371,000"
1965,"12,300","17,600","148,000","16,100","12,700","156,000","1,740","9,020","425,000"
1966,"12,000","24,300","128,000","20,300","28,400","170,000","1,740","8,740","412,000"
1967,"13,200","18,800","130,000","24,300","28,100","158,000","1,940","9,460","449,000"
1968,"13,800","12,800","134,000","26,000","24,900","145,000","2,090","9,810","497,000"
1969,"14,300","17,000","117,000","26,800","15,000","129,000","2,320","10,300","487,000"
1970,"14,100","21,000","142,000","24,300","22,400","141,000","2,840","11,900","628,000"
1971,"14,200","24,300","129,000","20,200","14,500","117,000","2,930","11,800","637,000"
1972,"14,300","32,600","158,000","16,700","23,800","145,000","3,090","12,100","611,000"
1973,"12,600","59,800","173,000","4,500","66,800","239,000","3,370","12,400","710,000"
1974,"12,800","58,500","200,000","3,900","80,700","257,000","3,840","12,700","770,000"
1975,"13,000","37,700","146,000","6,700","67,600","199,000","4,560","13,800","802,000"
1976,"12,600","47,400","171,000","14,000","63,600","221,000","4,960","14,200","792,000"
1977,"11,700","45,700","177,000","15,100","51,300","231,000","5,000","13,400","828,000"
1978,"10,200","40,100","213,000","15,100","52,500","247,000","4,500","11,300","658,000"
1979,"10,600","52,100","161,000","21,700","50,600","205,000","5,860","13,200","686,000"
1980,"10,200","44,700","172,000","17,700","107,000","187,000","6,230","12,300","779,000"
1981,"9,350","47,200","190,000","17,800","151,000","187,000","5,970","10,700","726,000"
1982,"3,140","39,000","118,000","33,900","112,000","164,000","4,810","8,130","621,000"
1983,W,"45,200","138,000","21,200","92,100","175,000","4,670","7,650","673,000"
1984,"8,710","50,000","160,000","39,800","88,000","186,000","4,770","7,490","773,000"
1985,"4,730","48,700","143,000","32,000","72,700","197,000","4,980","7,540","813,000"
1986,"1,500","39,700","117,000","19,600","62,600","163,000","3,880","5,770","852,000"
1987,0,"32,300","135,000","21,000","53,600","172,000","4,840","6,940","891,000"
1988,0,"48,700","146,000","27,900","56,100","181,000","13,800","19,000","952,000"
1989,347,"52,100","137,000","31,500","56,600","178,000","13,300","17,500","987,000"
1990,"3,700","57,400","145,000","37,100","55,800","185,000","8,860","11,100","974,000"
1991,"7,070","53,500","139,000","36,900","61,500","179,000","8,160","9,760","1,010,000"
1992,"8,960","55,900","128,000","33,900","61,400","175,000","7,000","8,130","1,010,000"
1993,"4,880","54,000","133,000","33,200","61,700","176,000","5,290","5,970","928,000"
1994,0,"62,100","133,000","41,700","47,300","196,000","6,340","6,970","932,000"
1995,"8,290","68,300","157,000","51,500","44,800","219,000","8,230","8,800","1,040,000"
1996,"15,100","64,400","150,000","46,800","42,700","211,000","7,500","7,790","1,060,000"
1997,"16,000","72,100","158,000","56,500","37,200","226,000","6,930","7,040","1,140,000"
1998,"4,290","65,700","156,000","43,500","31,600","215,000","4,630","4,630","1,180,000"
1999,0,"84,900","149,000","38,900","22,800","225,000","6,010","5,880","1,170,000"
2000,0,"94,500","167,000","58,100","26,100","241,000","8,640","8,180","1,290,000"
2001,0,"85,900","144,000","57,000","24,200","215,000","5,950","5,470","1,350,000"
2002,0,"98,000","130,000","45,900","17,000","219,000","6,770","6,130","1,350,000"
2003,0,"99,900","137,000","53,600","19,000","217,000","9,630","8,530","1,370,000"
2004,0,"99,700","155,000","56,300","17,900","228,000","13,800","11,900","1,350,000"
2005,0,"98,500","159,000","63,200","19,100","233,000","14,700","12,300","1,460,000"
2006,0,"104,000","173,000","67,300","19,900","228,000","24,200","19,600","1,570,000"
2007,0,"94,000","141,000","116,000","19,800","205,000","37,200","29,300","1,740,000"
2008,0,"86,700","149,000","106,000","21,700","206,000","21,100","16,000","1,630,000"
2009,0,"79,800","118,000","97,000","19,900","172,000","14,600","11,100","1,410,000"
2010,0,"81,900","153,000","93,000","23,100","190,000","21,800","16,300","1,710,000"
2011,0,"90,100","159,000","78,400","24,800","215,000","22,900","16,600","2,340,000"
2012,0,"89,800","155,000","69,500","23,200","215,000","17,500","12,400","2,570,000"
2013,NA,"109,000","153,000","71,700","22,500","220,000","15,000","10,500","2,610,000"
2014,NA,"127,000","195,000","66,800","24,500","276,000","16,900","11,600","2,130,000"
2015,NA,"116,000","157,000","62,500","23,400","234,000","11,800","8,140","2,110,000"
2016,NA,"136,000","143,000","74,000","20,300","235,000","9,590","6,520","2,000,000"
2017,NA,"133,000","188,000","62,500","18,400","273,000","10,400","6,920","2,190,000"
2018,NA,"123,000","189,000","69,200","18,600","259,000","13,100","8,510","2,380,000"
2019,NA,"114,000","157,000","60,600","17,200","220,000","11,900","7,570","2,590,000"
2020,NA,"101,000","137,000","45,400","15,600","195,000","13,800","8,670","2,510,000"
2021,,,,,,,18476,,"2,730,000"
2022,,,,,,,25815,,"3,270,000"
2023,,,,,,,21495,,"3,750,000"
